Week,SunAM,MonAM,MonPM,TueAM,TuePM,WedAM,WedPM,ThuAM,ThuPM,FriAM,FriPM,SatAM,SatPM,IsDescending
1,,80,76,72,68,65,61,57,53,50,46,42,38,Y
2,106,96,91,147,182,477,162,124,68,91,44,46,87,N
3,95,82,78,74,71,68,87,168,247,174,127,72,54,N
4,105,94,90,86,81,76,73,68,63,60,55,50,45,Y
5,100,45,41,38,106,120,141,NA,145,71,67,63,59,N
6,90,80,76,73,70,65,61,57,53,49,45,42,39,Y
7,104,93,89,84,80,114,204,501,163,96,69,49,86,N
8,107,49,46,42,36,31,27,102,121,187,206,202,88,N
9,94,90,105,101,128,74,66,59,119,112,97,NA,58,N
10,107,96,91,87,82,77,118,214,577,192,138,86,NA,N
11,99,102,120,121,76,71,62,129,123,123,71,63,99,N
12,98,85,81,76,73,69,66,62,59,55,51,46,42,Y
13,NA,51,47,42,38,34,29,26,114,132,133,140,138,N
14,96,84,80,76,73,70,66,62,59,56,51,48,45,Y
15,NA,86,NA,78,74,70,109,160,388,152,138,75,41,N
16,91,111,93,140,153,139,44,40,36,32,29,26,23,N
17,95,84,80,133,134,480,137,111,73,69,54,52,60,N
18,100,106,98,110,67,60,117,132,118,,,,,